#stokes,freq,ind,real,imag
9,882.33200000,0,347.34794080,-2.26997830
9,882.33200000,1,29.10158690,-6.83513530
9,882.33200000,2,4.43248120,-4.19364270
9,882.33200000,3,83.36920920,-23.84760110
9,882.33200000,4,-374.85771600,18.17083800
9,882.33200000,5,10.76369180,-12.71722030
9,882.33200000,6,12.95561850,0.04636450
9,882.33200000,7,13.74038690,23.76353810
9,882.33200000,8,5.98476260,-23.36235340
9,882.33200000,9,-12.32480970,30.75019460
9,882.33200000,10,-150.38324080,45.54616420
9,882.33200000,11,5.46555510,-2.42883800
9,882.33200000,12,51.18905800,-38.15839660
9,882.33200000,13,8.38947750,24.73819800
9,882.33200000,14,-8.36583480,7.86364600
9,882.33200000,15,4.78060910,1.58227270
9,882.33200000,16,0.18773170,-6.16368250
9,882.33200000,17,-28.55270230,-19.88413020
9,882.33200000,18,1.84019980,-8.10462920
9,882.33200000,19,-6.87993890,16.43374180
9,882.33200000,20,0.45103400,-0.65643880
9,882.33200000,21,-36.82296510,11.91095800
9,882.33200000,22,-2.85061240,2.05484440
9,882.33200000,23,-11.07856330,3.38374720
9,882.33200000,24,2.61959340,40.18220790
9,882.33200000,25,-14.16542600,-16.63154900
9,882.33200000,26,14.89109670,-2.19463870
9,882.33200000,27,6.55065840,-1.65120910
9,882.33200000,28,1.62836430,4.56091290
9,882.33200000,29,-2.97359340,-1.06950060
9,882.33200000,30,-7.88269880,6.47573710
9,882.33200000,31,-1.63496470,5.65197540
9,882.33200000,32,2.40155450,-2.52415380
9,882.33200000,33,-0.43782200,5.76096290
9,882.33200000,34,0.12704850,0.99301490
9,882.33200000,35,6.63984240,-16.71898150
9,882.33200000,36,2.82231160,-1.44403510
9,882.33200000,37,-1.95097920,-0.08566300
9,882.33200000,38,0.37378400,-1.08053400
9,882.33200000,39,-1.69003030,0.52404210
9,882.33200000,40,22.61553790,-20.33460130
9,882.33200000,41,3.14121240,5.60912960
9,882.33200000,42,-7.95487800,-4.24367100
9,882.33200000,43,-1.92141560,2.35242170
9,882.33200000,44,-0.45301970,5.52678510
9,882.33200000,45,-0.88718520,-1.27642250
9,882.33200000,46,0.86028910,-4.01657830
9,882.33200000,47,-1.67482140,-0.59884960
9,882.33200000,48,5.03584130,-1.80634770
9,882.33200000,49,8.85089730,0.69882810
9,882.33200000,50,-0.49262940,0.29568890
9,882.33200000,51,-1.36357270,-0.01036430
9,882.33200000,52,-0.41709920,-0.56573940
9,882.33200000,53,1.29435490,-3.39107200
9,882.33200000,54,-2.26968260,6.35599420
9,882.33200000,55,0.05635490,0.00543360
9,882.33200000,56,0.00995980,0.36997430
9,882.33200000,57,-0.06538970,0.23481310
9,882.33200000,58,0.50313520,0.11762010
9,882.33200000,59,0.42775610,-0.12914810
9,882.33200000,60,-24.09631440,6.19130600
9,882.33200000,61,4.19905880,-0.35875080
9,882.33200000,62,-12.37846310,5.83517520
9,882.33200000,63,-0.54634300,-0.97751640
9,882.33200000,64,-8.45075540,-2.55337180
9,882.33200000,65,-0.36251320,-2.22038020
10,882.33200000,0,-0.12042170,0.00292230
10,882.33200000,1,-0.12736640,0.18245720
10,882.33200000,2,-2.08265830,37.96252610
10,882.33200000,3,-75.69590230,151.30220720
10,882.33200000,4,0.11622100,0.09280210
10,882.33200000,5,-0.10390040,-0.29249080
10,882.33200000,6,0.00356140,-0.27235570
10,882.33200000,7,0.31559220,0.27013340
10,882.33200000,8,-2.66227940,22.46608680
10,882.33200000,9,0.98348260,-63.09830230
10,882.33200000,10,138.57051420,-264.41483910
10,882.33200000,11,4.52041520,-51.74126390
10,882.33200000,12,0.50264080,0.27575650
10,882.33200000,13,-0.13994240,-0.02786730
10,882.33200000,14,-0.82340010,-0.50430260
10,882.33200000,15,-0.21738380,-0.52597880
10,882.33200000,16,0.65972630,0.53733270
10,882.33200000,17,-0.25533690,0.15332160
10,882.33200000,18,0.77724760,19.84023330
10,882.33200000,19,7.57972020,-36.82172250
10,882.33200000,20,-4.96637180,-0.20887430
10,882.33200000,21,41.09015420,-123.32067460
10,882.33200000,22,1.20473750,15.54858390
10,882.33200000,23,11.07493970,-25.57207040
10,882.33200000,24,-0.59571620,-0.29886090
10,882.33200000,25,0.57642200,0.13484260
10,882.33200000,26,0.71744790,0.02840540
10,882.33200000,27,-0.18234040,0.00232950
10,882.33200000,28,0.23901390,-0.01781540
10,882.33200000,29,0.30331860,0.25559280
10,882.33200000,30,-1.01495970,-0.27090760
10,882.33200000,31,0.38213270,-0.83144630
10,882.33200000,32,-0.49095160,4.54214140
10,882.33200000,33,-1.19439620,-13.38261870
10,882.33200000,34,4.39218500,0.05904940
10,882.33200000,35,-2.36981310,34.85404830
10,882.33200000,36,-5.45741440,12.63871290
10,882.33200000,37,5.75054050,-12.10947720
10,882.33200000,38,-5.92808730,8.70617680
10,882.33200000,39,2.41633140,-8.38312450
10,882.33200000,40,0.40672500,0.03725860
10,882.33200000,41,-0.23352490,-0.09596840
10,882.33200000,42,0.00999570,0.21619590
10,882.33200000,43,0.50208450,-0.28377310
10,882.33200000,44,0.38039300,-0.09398850
10,882.33200000,45,0.30277700,-0.18798590
10,882.33200000,46,-0.16642290,0.02995070
10,882.33200000,47,-0.19206100,-0.08333790
10,882.33200000,48,0.58146360,0.06447310
10,882.33200000,49,-0.27303100,0.58134620
10,882.33200000,50,-0.52506480,2.23821720
10,882.33200000,51,0.10825880,-0.68555640
10,882.33200000,52,-0.98930210,-0.79379010
10,882.33200000,53,-0.48720430,7.33393620
10,882.33200000,54,2.20774020,-14.50244290
10,882.33200000,55,0.44700410,-0.21639100
10,882.33200000,56,0.10134920,0.65602930
10,882.33200000,57,-1.20159100,0.78338170
10,882.33200000,58,1.77602400,-0.61849210
10,882.33200000,59,-0.09527800,0.79317010
10,882.33200000,60,-0.23695830,0.02116500
10,882.33200000,61,-0.07084920,0.02586650
10,882.33200000,62,-0.29559190,-0.12196330
10,882.33200000,63,-0.38574520,0.35523800
10,882.33200000,64,-0.34326470,0.06369230
10,882.33200000,65,-0.07510490,-0.01672020
11,882.33200000,0,0.09989110,-0.05588600
11,882.33200000,1,-0.00725360,0.34924060
11,882.33200000,2,-8.56402680,27.84968750
11,882.33200000,3,-160.74352660,29.46174490
11,882.33200000,4,-0.19069320,-0.35904540
11,882.33200000,5,0.08546040,-0.45327760
11,882.33200000,6,-0.83850710,0.45071050
11,882.33200000,7,-0.23776640,0.14562180
11,882.33200000,8,-6.56017380,45.70825230
11,882.33200000,9,12.89293740,-79.53507000
11,882.33200000,10,293.84432360,-59.32884810
11,882.33200000,11,-55.57018890,-50.56979630
11,882.33200000,12,0.32929290,-0.04241930
11,882.33200000,13,0.63458180,0.03194140
11,882.33200000,14,0.34629250,-0.19534670
11,882.33200000,15,-0.43487640,-0.56605350
11,882.33200000,16,0.24489740,-1.28966140
11,882.33200000,17,0.04922380,-0.62540170
11,882.33200000,18,-7.45461980,27.75731050
11,882.33200000,19,18.24450700,-46.18800420
11,882.33200000,20,-4.70210270,-2.26424360
11,882.33200000,21,23.27563550,-69.88895330
11,882.33200000,22,25.29661220,21.11845830
11,882.33200000,23,17.19784450,-9.93179600
11,882.33200000,24,-0.10647770,0.91488100
11,882.33200000,25,-0.61618100,0.61178690
11,882.33200000,26,-0.29939250,0.35186960
11,882.33200000,27,0.11306210,0.22448270
11,882.33200000,28,-0.14198280,0.05086920
11,882.33200000,29,0.25118640,0.58845490
11,882.33200000,30,0.68046190,0.73212590
11,882.33200000,31,0.12279820,0.06660440
11,882.33200000,32,0.53350020,2.83915120
11,882.33200000,33,-2.32535720,-14.09908610
11,882.33200000,34,4.08688800,2.98998830
11,882.33200000,35,-10.21191390,44.04879890
11,882.33200000,36,-2.31411810,9.46267570
11,882.33200000,37,2.54720680,-8.31424460
11,882.33200000,38,0.90325130,5.60772780
11,882.33200000,39,-0.74181190,-5.73350950
11,882.33200000,40,-0.23212680,-0.66896390
11,882.33200000,41,-0.15033950,-0.38439010
11,882.33200000,42,-0.01859310,-0.03889380
11,882.33200000,43,-0.26635340,-0.07882810
11,882.33200000,44,0.24757200,0.25898970
11,882.33200000,45,0.17485370,-0.18851250
11,882.33200000,46,0.23980610,-0.07233440
11,882.33200000,47,-0.00359910,-0.24054410
11,882.33200000,48,-0.49906550,0.01353370
11,882.33200000,49,-0.10981900,0.32151630
11,882.33200000,50,-0.91254060,1.92580950
11,882.33200000,51,1.90153930,-0.85734060
11,882.33200000,52,-1.01520720,-1.64090280
11,882.33200000,53,-1.95569150,9.06013070
11,882.33200000,54,5.16938430,-17.88755770
11,882.33200000,55,0.72798870,-0.16799820
11,882.33200000,56,1.64660800,0.11691760
11,882.33200000,57,-1.07360930,1.08252060
11,882.33200000,58,-0.56825400,-0.21598360
11,882.33200000,59,-0.72510170,-0.39492810
11,882.33200000,60,0.33326720,0.25164850
11,882.33200000,61,0.51004880,0.13426290
11,882.33200000,62,0.21860880,0.00406720
11,882.33200000,63,0.32340450,0.04234030
11,882.33200000,64,-0.13231840,-0.14479950
11,882.33200000,65,0.17722230,0.08259090
12,882.33200000,0,347.35851700,-2.19392890
12,882.33200000,1,26.07831450,-1.22023490
12,882.33200000,2,2.65735560,0.45460580
12,882.33200000,3,50.62153470,-22.52886720
12,882.33200000,4,-371.01896670,21.19729880
12,882.33200000,5,21.22093940,9.39005110
12,882.33200000,6,10.87386610,-2.57462120
12,882.33200000,7,23.49320230,18.25038180
12,882.33200000,8,3.94762640,-19.86243640
12,882.33200000,9,-9.75322030,23.76125920
12,882.33200000,10,-90.31158790,43.17752920
12,882.33200000,11,4.44844870,-2.77503250
12,882.33200000,12,49.03872640,-39.19052590
12,882.33200000,13,-8.59823020,-23.92256090
12,882.33200000,14,-1.05544530,8.84182680
12,882.33200000,15,6.00730750,-1.21431580
12,882.33200000,16,-1.15843370,0.52398580
12,882.33200000,17,-32.38144330,-18.08937550
12,882.33200000,18,1.85790600,-6.68952630
12,882.33200000,19,-5.16552570,12.23706150
12,882.33200000,20,-0.03510800,-0.60611240
12,882.33200000,21,-20.87836680,10.59315680
12,882.33200000,22,-2.80708590,1.55386470
12,882.33200000,23,-6.50765980,3.14193820
12,882.33200000,24,1.72825530,37.05698650
12,882.33200000,25,-2.59781590,19.35249420
12,882.33200000,26,6.89957120,-3.89577190
12,882.33200000,27,7.20474810,3.64866410
12,882.33200000,28,4.02402110,8.99665900
12,882.33200000,29,-5.41719780,0.09204820
12,882.33200000,30,-4.23422810,-0.44493260
12,882.33200000,31,-5.87717660,7.11989160
12,882.33200000,32,1.67653700,-1.49126490
12,882.33200000,33,-0.16400660,3.21993210
12,882.33200000,34,-0.01032950,0.55857240
12,882.33200000,35,4.85203870,-12.79241470
12,882.33200000,36,1.87083700,-0.62941310
12,882.33200000,37,-0.81687700,-0.15568180
12,882.33200000,38,0.56569110,-0.39109380
12,882.33200000,39,-0.87405160,0.44562140
12,882.33200000,40,22.16536170,-17.10023750
12,882.33200000,41,-1.01562720,-6.35884500
12,882.33200000,42,-5.42781120,-3.32373040
12,882.33200000,43,-2.09335400,-2.69698270
12,882.33200000,44,0.94291640,5.86882780
12,882.33200000,45,-0.73326720,-0.21256890
12,882.33200000,46,-1.13303800,-7.66180970
12,882.33200000,47,-0.34984330,-0.84661730
12,882.33200000,48,3.17787880,1.79175470
12,882.33200000,49,12.63470910,-1.49231430
12,882.33200000,50,-0.67874250,0.11176800
12,882.33200000,51,-0.85432830,0.79466800
12,882.33200000,52,-0.00478010,-0.36986750
12,882.33200000,53,0.93807290,-2.53824140
12,882.33200000,54,-1.64620160,4.96091840
12,882.33200000,55,-0.15031890,-0.02644360
12,882.33200000,56,-0.11642950,0.06912850
12,882.33200000,57,-0.08552990,0.26227220
12,882.33200000,58,0.12222250,-0.06086460
12,882.33200000,59,0.26631220,-0.15877070
12,882.33200000,60,-22.60822200,4.17686490
12,882.33200000,61,4.71393310,-0.28961190
12,882.33200000,62,-11.92783800,4.89848000
12,882.33200000,63,-0.97603410,0.96893650
12,882.33200000,64,-9.73664850,-3.13310080
12,882.33200000,65,-0.56853660,-2.56976400
9,935.83200000,0,311.43203380,-2.25754130
9,935.83200000,1,28.90223260,-1.70882890
9,935.83200000,2,2.63411030,5.44059660
9,935.83200000,3,-65.88335930,-5.66981040
9,935.83200000,4,-325.62061460,28.27568920
9,935.83200000,5,3.67758750,-4.97216310
9,935.83200000,6,10.32866400,-1.12839640
9,935.83200000,7,15.58784670,22.65038800
9,935.83200000,8,4.31509160,-10.76429090
9,935.83200000,9,-7.33141260,6.64562760
9,935.83200000,10,117.49303000,13.49668590
9,935.83200000,11,-5.64654890,0.17904570
9,935.83200000,12,37.01233040,-48.22216050
9,935.83200000,13,8.82888220,12.75190970
9,935.83200000,14,-7.01455500,3.61313670
9,935.83200000,15,2.99192200,-0.38526320
9,935.83200000,16,1.64495940,-1.82108760
9,935.83200000,17,-23.79160770,-20.56236440
9,935.83200000,18,2.38823560,-0.03905400
9,935.83200000,19,-4.48795050,3.70120760
9,935.83200000,20,-0.53570390,-0.20226580
9,935.83200000,21,26.88020310,5.96810160
9,935.83200000,22,3.75571930,-0.14190040
9,935.83200000,23,8.50776500,1.24464900
